cur_sna_20m_0105,33.0708237,-109.97931,32.5317955,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0106,36.5698738,-114.68925,36.7960968,,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0107,38.6454659,-115.39301,41.955471,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0108,43.8815155,-108.61355,35.9093781,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0109,34.5352783,-119.19724,39.7872581,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0110,39.7447548,-123.99373,45.1113701,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0111,34.9816742,-126.99097,44.6596603,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0112,39.6255646,-132.27408,45.6002808,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0113,44.1381149,-128.0986,45.71492,,ALAM,FW,CHECK_ID,FALSE,ALAM
cur_sna_20m_0114,41.7330399,-127.78886,46.5925293,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0115,48.9209366,-129.60027,47.0548668,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0116,47.1163712,-127.74255,47.0153885,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0117,50.2980843,-129.88571,47.6348801,,AAGA,FW,,TRUE,AAGA
cur_sna_20m_0118,49.3696098,-135.38292,51.1999779,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0119,45.9776039,-138.35358,47.2484589,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0120,45.7005043,-139.75122,46.8149681,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0121,36.2388725,-137.02654,48.7880707,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0122,36.9874191,-135.73289,47.4147186,,AAGA,FW,,FALSE,AAGA
cur_sna_20m_0123,27.7011585,-120.38763,34.8169212,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0124,32.693512,-114.40456,35.3566971,,ALAM,FW,,FALSE,ALAM
cur_sna_20m_0125,24.3516674,-119.57304,33.1361008,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0126,20.6430836,-121.33965,32.6790771,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0127,22.8644371,-112.71311,30.5511017,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0128,25.5762196,-104.25967,31.9563408,,AAGA,FW,,TRUE,ALAM
cur_sna_20m_0129,20.3864822,-103.45493,28.1634884,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0130,9.85213089,-75.631828,12.5707369,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0131,11.4539967,-73.080994,12.0013542,,ALAM,FW,,TRUE,AAGA
cur_sna_20m_0132,6.8002367,-72.494148,11.5686226,,ALAM,FW,,TRUE,ALAM
cur_sna_20m_0133,8.83255577,-68.75444,11.3135386,,AAGA,FW,,TRUE,AAGA
